seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
MOT20-01,0.4978785494820697,0.7172278364201857,0.35709235484504526,0.4978785494820697,0.49456559261057786,0.49134922251231244,0.48564979013573134,0.48079803919520575,0.47552500429789635,0.4692748612351158,0.462245805365932,0.45345470659953785,0.4416502048031441,0.42620067642511755,0.40724486097344254,0.38106336114912603,0.3497672822793535,0.30941135984558593,0.2567007874867436,0.18402156190114974,0.09329557730303581,0.016583767905370524,0.3777200532371815,0.6064262382507832,0.5937830687830687,0.5835195163622027,0.5701580061899332,0.5574226071220836,0.5448921370644614,0.5312956726186694,0.5168376660162397,0.4996110644388438,0.48003930721041643,0.4527369182541596,0.4215012535024333,0.3814888067188351,0.3328908432202218,0.27374596966013004,0.20273507686164904,0.12565396113602392,0.054894064086849936,0.008347804255497207,0.4072621043027633,0.4087604302039772,0.41192674270005475,0.41373776145234703,0.41366729239668126,0.4147064570765171,0.4149886084441031,0.4144940505572242,0.4134203031783006,0.41156248444622384,0.406331107625652,0.4012198017464391,0.3934706609082982,0.3806383900466348,0.3674992996793054,0.34972346705361607,0.3250315402562661,0.2695015337230796,0.15856112840426073,0.03294535299603965,0.3580098112050011,0.915651736285858,0.9036738802214394,0.8938097634625063,0.8807750377453447,0.8681429290387519,0.8555108203321591,0.8415702063412179,0.8264720684448918,0.808102667337695,0.786713638651233,0.7559134373427278,0.7192249622546553,0.6698037242073478,0.6057876195269251,0.5212883744338198,0.40885757423251134,0.27075993960744843,0.12622043281328635,0.02008052340211374,0.667282070299049,0.6423074207441927,0.633905246063687,0.6269858080915061,0.6178422650568383,0.6089811480618513,0.6001200310668644,0.5903410294429147,0.5797500529548825,0.5668643648944433,0.5518604815363977,0.530254889500812,0.5045188166348937,0.46985102026406833,0.42494527995481185,0.36567111487679166,0.2868036432959119,0.1899315116853774,0.08854056343994916,0.01408599872908282,0.468082141383962,0.43653810555841094,0.43988011530632587,0.4421328323956396,0.4431341612635078,0.44494815518601816,0.4460423516845493,0.44666844119766624,0.44699863755892816,0.4469566507130358,0.44453322305762794,0.44244602757899415,0.43898172307706856,0.4316281254392475,0.42388607695239383,0.4125657457773956,0.39750947422240224,0.3548411707808064,0.2390162517041438,0.05767216600416111,0.40191470712938543,0.7516128817250852,0.7544260206178025,0.7552102614792252,0.7527342566861444,0.7512866719351119,0.7482237226774986,0.7425944351078664,0.7375202178863565,0.7303427183414775,0.7204810657214625,0.7080825015234898,0.692695727043282,0.669948104729179,0.6426567034006171,0.6066457523104257,0.5519586814405224,0.46451342733890066,0.3022004599673686,0.07609926268196995,0.6399596248744097,0.7172278364201857,0.7257521447228646,0.7323870977056925,0.7406013059173874,0.7481167429182654,0.7551129914628211,0.7622283303723932,0.7692858449598627,0.7770608952157935,0.7852200306752235,0.7958476795054821,0.8070620751715921,0.8204254396342073,0.8356695283820165,0.8534430766369472,0.8747116749766273,0.900105535360344,0.9289411684389312,0.9621814181147775,0.804809516662706,0.6117860717940757,0.6101208388038692,0.6081141757098162,0.6036123135545708,0.6000203982680014,0.5958416273125904,0.5906148014185306,0.5845342873646373,0.5767016052146223,0.5653903290447782,0.5507153888063403,0.5319717297376666,0.5049287189589488,0.4718331547597503,0.42697397771028045,0.3645430113144865,0.2701300038777177,0.14146962308053576,0.02572080737122908,0.4860538349527604,18194.0,17956.0,17760.0,17501.0,17250.0,16999.0,16722.0,16422.0,16057.0,15632.0,15020.0,14291.0,13309.0,12037.0,10358.0,8124.0,5380.0,2508.0,399.0,13258.894736842105,1676.0,1914.0,2110.0,2369.0,2620.0,2871.0,3148.0,3448.0,3813.0,4238.0,4850.0,5579.0,6561.0,7833.0,9512.0,11746.0,14490.0,17362.0,19471.0,6611.105263157895,10132.0,10370.0,10566.0,10825.0,11076.0,11327.0,11604.0,11904.0,12269.0,12694.0,13306.0,14035.0,15017.0,16289.0,17968.0,20202.0,22946.0,25818.0,27927.0,15067.105263157895,0.20010065425264217,0.7748099149704006,0.2198288877705083,0.8226975339708102,0.5771023088328744,0.6756756756756757,0.28378378378378377,0.04054054054054054,0.014837326624113668,0.6783550502116358,27.923076923076923,0.21969837513502669,12665.817680021139,16347,3523,11979,392,50,21,3,182.0,429,0.40584280853182836,0.4921992954202315,0.34526583350984963,9780,10090,18546,28326,19870,343,74
MOT20-02,0.41426169215525693,0.7102560127328225,0.29423185769814475,0.41426169215525693,0.41071872170342394,0.40689951704720023,0.4032216666430295,0.39953501848633194,0.394646047891797,0.3899804343911873,0.3846541486466655,0.3777505483064595,0.36975490441008463,0.36018978614052144,0.34634357877474703,0.3269790688558399,0.30058960989168054,0.26731266552237726,0.22352083627689887,0.16244791327781707,0.08471364380416777,0.01662303031273684,0.317902254344117,0.6717903319743739,0.6533102329696254,0.6338194915601535,0.6171117981629876,0.6022792226350386,0.5837217514124293,0.5673878761668872,0.5505695666453475,0.5314499366178247,0.510446177873383,0.4853599268099833,0.45312873348155885,0.4111632004530724,0.35785079868456404,0.29506924567868703,0.22247699389115835,0.14084766780070587,0.06241394727725484,0.009663059199603797,0.43999262943656003,0.2554558192032499,0.2582079077361361,0.2612214032195497,0.2634655712860651,0.2650402421296925,0.2668146299838198,0.2680436886233467,0.26873772731866147,0.268502199198578,0.2678415379754771,0.26729994561488807,0.2647236109633759,0.26003132418470104,0.2524910211377716,0.2421670919459013,0.22456957627882526,0.18736074895934435,0.11498073362834185,0.028596030622424183,0.2360816215794816,0.9317638391645449,0.9162606144421036,0.8995295394915408,0.8848664228199196,0.8715927156169624,0.8546354577296403,0.8393778030528234,0.82333173928216,0.8046619534450893,0.7836075532176139,0.757680526295382,0.7230551498623515,0.6756019697302607,0.6110881337969006,0.5283051789430149,0.4219862739269235,0.2862700495017513,0.13622028925566426,0.022191777280893357,0.6722119466766074,0.7065508217929494,0.6947948212833103,0.6821077494536082,0.670988797741907,0.6609234267344879,0.6480648417668794,0.636495055521253,0.6243274234806386,0.6101702390403105,0.5942048160889124,0.5745445101094744,0.5482882988836945,0.5123048425509394,0.46338439524467573,0.40061058677094663,0.31998961120421826,0.21707682808503131,0.10329501239794968,0.01682788901629865,0.5097342087982887,0.27424397796693145,0.277345363283772,0.2807600411732604,0.2834056416472433,0.2853701790885616,0.28761349305449385,0.28933269389816857,0.29060889668751133,0.29117500719175604,0.29141587366663013,0.2918929578033912,0.2908804803014876,0.2883085992239937,0.28378123985695086,0.2768211022255036,0.26334836983460597,0.23106750867555967,0.15629868099329594,0.04511302102269726,0.262041217241885,0.7217306503934017,0.7241054983557135,0.7265932793299609,0.7286870594528193,0.729468694459936,0.7288942254283399,0.728172067886235,0.7261057965210262,0.7218823831583123,0.7158506659325206,0.7078783085781205,0.6937985497574214,0.6721666763526547,0.6418568550158491,0.6028794551550093,0.5495470303036528,0.4626812410757104,0.30194564274624025,0.08353089599199108,0.6298828934681534,0.7102560127328225,0.7210062732346378,0.7320697041366395,0.7413269026592446,0.7491840815838965,0.7585905855804856,0.7664712849929698,0.774088711546052,0.7821651571398633,0.7904060368279123,0.7994544626929224,0.8101601260039446,0.8230610839776361,0.8385650810833413,0.8562320648288232,0.8764293996949836,0.9005286946418463,0.9285027405892938,0.9617907874971142,0.8063310100760226,0.4878775408212024,0.48640079789831975,0.48474361114244263,0.4828372785940487,0.48063202596747123,0.4775240762780307,0.47433102626629836,0.47038314217668176,0.46481555923982387,0.45812951468226343,0.45003106945211613,0.4375040230640475,0.4191392069596353,0.3928030892286295,0.3576843983801766,0.3078396964838185,0.2315939785039255,0.12515074427937378,0.025191203676887767,0.39550589384711543,144183.0,141784.0,139195.0,136926.0,134872.0,132248.0,129887.0,127404.0,124515.0,121257.0,117245.0,111887.0,104544.0,94561.0,81751.0,65299.0,44298.0,21079.0,3434.0,104019.42105263157,10559.0,12958.0,15547.0,17816.0,19870.0,22494.0,24855.0,27338.0,30227.0,33485.0,37497.0,42855.0,50198.0,60181.0,72991.0,89443.0,110444.0,133663.0,151308.0,50722.57894736842,59883.0,62282.0,64871.0,67140.0,69194.0,71818.0,74179.0,76662.0,79551.0,82809.0,86821.0,92179.0,99522.0,109505.0,122315.0,138767.0,159768.0,182987.0,200632.0,100046.57894736843,0.28807305062620364,0.7790778978926756,0.3033824042599941,0.8110661617401869,0.6150265110307449,0.6888888888888889,0.2962962962962963,0.014814814814814815,0.10889060922644232,0.699571915899311,28.23867721063983,0.3033605965732592,97778.95065291814,125506,29236,78560,2369,186,80,4,1361.0,2782,0.31471985017056475,0.36487831358002354,0.2766849940705458,56462,98280,147604,204066,154742,1906,270
MOT20-03,0.5158054832067156,0.7193360705586154,0.37103748946250664,0.5158054832067156,0.5135640534191723,0.5108798164782509,0.5077005461101883,0.5038458885858308,0.49934387171093,0.4936951155755595,0.4867804658223695,0.47856844492158707,0.46872961534005,0.4543301975813266,0.4324399266571271,0.3955243193757837,0.3362578090312337,0.25802540680834113,0.16778869813169373,0.08631939078986384,0.029146710238609104,0.00382603423588681,0.3759248312642379,0.6672694968674764,0.6595909996431298,0.6515484587339906,0.6434254170832466,0.6342433914213588,0.6242939788972918,0.6131393431645689,0.6003293163418879,0.5855626455247956,0.5682727237800895,0.5438878126063734,0.5087246668446234,0.4536483454740416,0.37103298999850726,0.2686631075135886,0.161388423481807,0.07426820299809786,0.021170734825879636,0.0019076448971521685,0.4553877736893635,0.3987224019007622,0.39986603381039265,0.40058138943646815,0.40060562992530085,0.4002575082034926,0.3994020615987449,0.3975195359103644,0.39470872978539817,0.39112426010270146,0.3866232586976209,0.37951931197928157,0.3675943046503326,0.3448474766378898,0.3047419425828969,0.24780890526713853,0.17444279219879907,0.1003260739528606,0.040127597115568854,0.007673617870931395,0.3124469911382603,0.9375338744747463,0.9310331635093,0.924159434798411,0.9171486140956073,0.9091398912190986,0.9003596273648369,0.8903869819995026,0.8787628563594744,0.8651301736286019,0.8488417320776132,0.8252491567248404,0.7898857991825492,0.7310573937218244,0.6339516288441551,0.49608171957992464,0.32552652889452843,0.1619502770533511,0.048565635182268585,0.0044602720160174456,0.6852223558277185,0.6983158634643059,0.693473852189235,0.6883540011303567,0.6831320380141817,0.6771667941088467,0.6706268730438417,0.6631988145502558,0.6545406619710952,0.644386449017587,0.6322541117913304,0.614681339140264,0.5883411777557195,0.5445232316803845,0.47219464932819766,0.3695031654737762,0.24246626740060698,0.12062758545354377,0.036173789972121034,0.0033222039106543247,0.510383308915595,0.4159498668719114,0.4173865159586614,0.4184990212021572,0.4189468634051234,0.4192376908913157,0.419169352550129,0.4183376612500525,0.41680100574270285,0.414764241221453,0.41209517998352413,0.40758403699701395,0.39949634069816187,0.38277286028325586,0.35052192122096487,0.2996910912023367,0.2255369789201327,0.13955283584686662,0.05968277468033628,0.011958586602574027,0.339367622396246,0.837240870313459,0.8389016864999205,0.8397733254136952,0.839523258330425,0.8385961925297597,0.8361836731416791,0.8325406722819854,0.8274876617192356,0.8207814863496758,0.8122459819269383,0.7986895250165975,0.7771312161673724,0.7381537841516084,0.671995476034589,0.5737809670068187,0.43642390453776153,0.27479874734541954,0.12066350523885264,0.024887913126416507,0.670515781428011,0.7193360705586154,0.7238322203395438,0.7282819410759623,0.7325082449811553,0.7369766573302452,0.7414745853358881,0.7461386149605682,0.7510396094599374,0.7561664085671927,0.7615437018198068,0.7682578151062873,0.7768243738817079,0.7888546002373961,0.8060206476949635,0.828202288764302,0.8557941174452003,0.8875484499972334,0.9229126852214229,0.9604046366407752,0.7890588247062212,0.6114047417986702,0.6101545201327337,0.608441509475125,0.6061475878735206,0.6032330125811672,0.5996711526743583,0.594933794522611,0.5889442849847822,0.5816987184557042,0.5728716754862119,0.5596409493342082,0.5388483284781362,0.5020988921541686,0.4395357219584769,0.35061869295880493,0.23829762196703638,0.12746699758110241,0.04414546683698985,0.005850335293923475,0.46231600023935426,294065.0,292026.0,289870.0,287671.0,285159.0,282405.0,279277.0,275631.0,271355.0,266246.0,258846.0,247754.0,229302.0,198844.0,155600.0,102104.0,50797.0,15233.0,1399.0,214925.47368421053,19593.0,21632.0,23788.0,25987.0,28499.0,31253.0,34381.0,38027.0,42303.0,47412.0,54812.0,65904.0,84356.0,114814.0,158058.0,211554.0,262861.0,298425.0,312259.0,98732.52631578948,127041.0,129080.0,131236.0,133435.0,135947.0,138701.0,141829.0,145475.0,149751.0,154860.0,162260.0,173352.0,191804.0,222262.0,265506.0,319002.0,370309.0,405873.0,419707.0,206180.52631578947,0.39562517136498987,0.7548044137549429,0.4042683432273368,0.8734162686747987,0.6505582917365224,0.6923076923076923,0.2336182336182336,0.07407407407407407,0.1814673573313023,0.7456924944608064,61.18586278586279,0.4042573977723585,206781.6883658216,273954,39704,147152,2711,486,164,52,1413.0,2405,0.4191413841723329,0.4909327994184749,0.3656680265776313,153985,159673,267121,421106,313658,3289,702
MOT20-05,0.42789887329831194,0.7208013614760805,0.30843009044750413,0.42789887329831194,0.42490928559234153,0.42158523288910166,0.4175038893589047,0.4129514791925447,0.40793943795356463,0.40224753140516073,0.3958607663554965,0.3883539145242828,0.3795181811777827,0.36914806922238036,0.35599677838419547,0.33728434321738254,0.30974387023609634,0.26715711132814596,0.2041075283547763,0.12429826796971409,0.04971642976359386,0.006512951285129718,0.32119652323731085,0.6741514818180369,0.6598040798447451,0.6458460439660084,0.6307232423618929,0.6152597901990341,0.5998030446468405,0.5835213729711914,0.5663769802077773,0.5481883432249259,0.5274630056944686,0.5043071473372835,0.477246511366194,0.44165675460212334,0.3930872615496572,0.32407300668969813,0.23134435862517191,0.12770708209647852,0.04460115245518427,0.00455471914956711,0.452616598884541,0.2715968898802858,0.27363865501570983,0.27519578427504066,0.276364474816354,0.27716572232380937,0.2774487167464344,0.2772873180251686,0.2766809948421155,0.2751221633774359,0.273069482199712,0.27021290047169,0.2655518756064462,0.2575772406833562,0.2440711631575367,0.22023717082225044,0.1800773676897558,0.1209804434228545,0.05541837491580462,0.009313095505900596,0.23036893861987687,0.9159596128377459,0.9042150928917109,0.8925927988810912,0.8797760944636293,0.8664225242285841,0.8528167663040115,0.8381976161301102,0.8224753382099934,0.8054147636552672,0.7854795588726746,0.7625567809092372,0.7348579084821705,0.6968456425680443,0.6418362358125085,0.5567298528337851,0.42735911526988724,0.2575919324693971,0.09712010941541965,0.010313393487059522,0.6709769019853856,0.7185999060518851,0.7093859507512815,0.7002678856454806,0.6902127669904681,0.6797364597582839,0.6690623031368231,0.6575931075584536,0.6452584726269908,0.6318739007524345,0.6162340886001124,0.5982504287748268,0.5765197685526285,0.5466979179689728,0.5035412613080636,0.43677255452692754,0.3352770316279849,0.20208919244676576,0.07619386327029261,0.008091190361457482,0.5264030553005332,0.28431010974259413,0.28646999539918855,0.2882338782621069,0.28974596632423094,0.290991145141474,0.2917838605136864,0.2922222125394345,0.2923666311869696,0.29175547921809714,0.29084297107758966,0.2893792584231693,0.28649242462679575,0.2810297277424074,0.2708918636317429,0.2515904661616985,0.21557417722887262,0.15539098058359646,0.077065707569966,0.013752983892809793,0.24946788627718058,0.795627118096143,0.7998208760237614,0.8025926593879481,0.8043210441210211,0.8050031327722167,0.8041931189105876,0.8025435939836952,0.7992306570211721,0.7937246558372141,0.7862731120634078,0.7759449749064993,0.7606339022306087,0.7376257246546893,0.7009005046614266,0.6382992606224767,0.5352088250729019,0.37903825746234665,0.19015120500569593,0.0371747744884202,0.670963547227486,0.7208013614760805,0.7291924153434475,0.7370546032696517,0.7452386839850031,0.7532609007834178,0.7608825004974842,0.7684806729705043,0.7759960906140436,0.7834201078686787,0.791229466293217,0.7992258931998966,0.8076362220549526,0.817533977548646,0.8296050133591139,0.8453421305863649,0.8661708060939498,0.8929179413597773,0.9244203410261842,0.9607210059619142,0.8057436912785436,0.4987702698664812,0.4974215534773226,0.4956185784717271,0.49309112575914804,0.490043492728384,0.4864287382863926,0.48210120198129364,0.4770359470826558,0.4707307640179929,0.463131187051595,0.4539302584581028,0.44174981143365594,0.4236644636913711,0.39579504371759633,0.3501608311910409,0.27741251690582425,0.1765321109948489,0.07336374196732125,0.009800490729290984,0.3924622172532655,592025.0,584434.0,576922.0,568638.0,560007.0,551213.0,541764.0,531602.0,520575.0,507690.0,492874.0,474971.0,450402.0,414847.0,359839.0,276221.0,166493.0,62773.0,6666.0,433681.8947368421,54319.0,61910.0,69422.0,77706.0,86337.0,95131.0,104580.0,114742.0,125769.0,138654.0,153470.0,171373.0,195942.0,231497.0,286505.0,370123.0,479851.0,583571.0,639678.0,212662.1052631579,231834.0,239425.0,246937.0,255221.0,263852.0,272646.0,282095.0,292257.0,303284.0,316169.0,330985.0,348888.0,373457.0,409012.0,464020.0,547638.0,657366.0,761086.0,817193.0,390177.1052631579,0.32985066775586996,0.7820797334120643,0.3397617986706769,0.8072032849380516,0.6332770534763837,0.5474764756201882,0.3686911890504705,0.08383233532934131,0.15394471271151233,0.7097400835122769,91.1396681749623,0.3397559092574011,408035.2413928097,521731,124613,302128,6406,640,431,98,4181.0,3315,0.32192697198958237,0.36613475177304966,0.2872445406313459,236649,409695,587210,823859,646344,6829,1169
COMBINED,0.4540342568917232,0.7188782036596109,0.3263953309942483,0.4540342568917232,0.45113219444310504,0.4478796898459576,0.44403360140564624,0.4397531475582522,0.43485815196050714,0.42925964768612546,0.4228008674993046,0.4151073819435074,0.4059933894660838,0.39439508455803773,0.3783977344973483,0.35397123256772206,0.3170454027997895,0.2654403776884259,0.19819605731933812,0.12214891902612064,0.052470256599509574,0.008415993943149718,0.33870175724735013,0.6705879869830842,0.6575828594383321,0.6445860281673114,0.6312227749206082,0.6176370222514265,0.6033155608045149,0.588479986571965,0.5726125164969607,0.5552362085873571,0.5354184767209869,0.5115695381791288,0.4814919220359056,0.43956726524376466,0.3807664290298264,0.3031036861979732,0.20912100278536058,0.1138454833533262,0.04046920423936156,0.004576025365441662,0.4505889461775071,0.3074124655269428,0.3094975088567338,0.311201620591819,0.31235539497456627,0.3131010995462445,0.3134373197242626,0.3131182866642534,0.3121841880994115,0.31034384263662834,0.30785383668418764,0.304059313768358,0.2973774614271684,0.2850431399072197,0.2639880508704378,0.23245706771561303,0.18784185525950559,0.13105797419247245,0.0680301943011917,0.0154782695450152,0.2576757310680017,0.9240737378526971,0.9132621314385333,0.9022865926209266,0.8908192565929911,0.8789667675526655,0.8662549554297762,0.8528451085567427,0.8382225144410346,0.8218671724480748,0.8027619965909111,0.7791063745026943,0.7481866079565386,0.7029324510362114,0.6348317577607892,0.5354666873491778,0.39815126554052743,0.23529411764705882,0.08953970248912846,0.010486385678301166,0.6750187149202516,0.7096910225490521,0.7013876808381454,0.6929584386170708,0.6841514948654929,0.6750487526034669,0.6652860479897547,0.6549872508811343,0.6437570607510574,0.6311961157661959,0.6165232912559389,0.5983557122618297,0.574609251521467,0.539853941870516,0.4875524331627359,0.4112398018894553,0.3057812025123244,0.1807064913896912,0.06876672327677061,0.008053571343960871,0.5184161202813715,0.3224886277677635,0.32477527730046335,0.3267716045322322,0.32831552629544847,0.329564059113425,0.3304921441683305,0.33090198631861095,0.3308641329146675,0.3301455634750263,0.3290005425985302,0.3269258408553147,0.3226182990456308,0.3137486182956843,0.297123532895391,0.27004903886942666,0.22800343260935385,0.1689537694814685,0.09489695179713875,0.024065957447812557,0.28051078451482736,0.7963727196520007,0.7996879611706008,0.8019648817894328,0.8032006494900367,0.8034642328896423,0.8022851667867709,0.8001823371149608,0.7965585808442992,0.7909137684511566,0.7833609136617118,0.7724240612868281,0.7554959347282196,0.7280678032891769,0.6841962391482969,0.616469680009153,0.5152552464630871,0.3748056112524305,0.2056938935179801,0.05041468648934856,0.6674112825281648,0.7188782036596109,0.7265020526931593,0.7338119080297923,0.7410051735113997,0.7479643524833129,0.754897884777895,0.7616546842514379,0.768391953295645,0.775212299583527,0.782339172183764,0.7901308233947543,0.7989667136137251,0.8100612448250725,0.8243719220933567,0.8425558704487859,0.8654619164133421,0.8933039664709105,0.9251529211711551,0.9610415416452724,0.80114234760768,0.5329838516146577,0.5316505944823321,0.5298990940376316,0.5274961618287409,0.524600287252445,0.5210725778888864,0.5167604853133378,0.5115464936028998,0.5050360545886166,0.4971250955189958,0.4867181418273234,0.4716925207674164,0.44762269042804304,0.4093751315870624,0.3528073355254718,0.2734766395746677,0.17560515481679007,0.07804744299467029,0.012740137522088704,0.4161187311143199,1048467.0,1036200.0,1023747.0,1010736.0,997288.0,982865.0,967650.0,951059.0,932502.0,910825.0,883985.0,848903.0,797557.0,720289.0,607548.0,451748.0,266968.0,101593.0,11898.0,765885.6842105263,86147.0,98414.0,110867.0,123878.0,137326.0,151749.0,166964.0,183555.0,202112.0,223789.0,250629.0,285711.0,337057.0,414325.0,527066.0,682866.0,867646.0,1033021.0,1122716.0,368728.3157894737,428890.0,441157.0,453610.0,466621.0,480069.0,494492.0,509707.0,526298.0,544855.0,566532.0,593372.0,628454.0,679800.0,757068.0,869809.0,1025609.0,1210389.0,1375764.0,1465459.0,711471.3157894737,0.3400636692302404,0.7735811221428577,0.35053242776838645,0.8263056863391427,0.6346049059232128,0.6148984198645598,0.3142212189616253,0.0708803611738149,0.15297246296235595,0.717877801859209,60.443287425820174,0.3505288364648057,725261.6980915705,937538,197076,539819,11878,1362,696,157,7137.0,8931,0.3498323679703948,0.40267086427630894,0.3092522660399619,456876,677738,1020481,1477357,1134614,12367,2215
