epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2636.69,1.60226,1.11835,0.0085,0.8073,0.66298,0.76009,0.43014,1.57963,1.01107,0.01349,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2718.6,1.60519,1.11256,0.00846,0.80728,0.66553,0.76274,0.43231,1.57603,1.00611,0.01349,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2800.49,1.60377,1.11117,0.00844,0.80942,0.6665,0.76258,0.42985,1.57951,1.01073,0.0135,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2881.91,1.60149,1.11112,0.00843,0.8088,0.66796,0.76327,0.43195,1.57031,1.01277,0.01343,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2963.79,1.5984,1.10003,0.0084,0.8094,0.66843,0.76496,0.4334,1.56823,1.00419,0.01341,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3046.35,1.60105,1.10902,0.00836,0.81138,0.66673,0.76508,0.4351,1.56353,1.00889,0.01334,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3127.8,1.59314,1.10127,0.00842,0.80888,0.67075,0.76745,0.43763,1.56263,0.9962,0.01335,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3210.51,1.58756,1.10016,0.00839,0.81057,0.672,0.76765,0.4361,1.56096,0.99858,0.01334,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3294.04,1.59236,1.09351,0.00834,0.80943,0.67225,0.76864,0.43861,1.56098,0.9937,0.01333,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3376.22,1.58175,1.09401,0.00841,0.80893,0.67509,0.76973,0.43851,1.56278,0.98957,0.01335,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3459.22,1.5814,1.09037,0.00837,0.81217,0.67331,0.76982,0.43874,1.56008,0.99175,0.01333,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3540.28,1.57866,1.08726,0.00835,0.81417,0.67387,0.77026,0.43957,1.55883,0.98571,0.01333,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,3621.66,1.57987,1.08632,0.00826,0.81122,0.67764,0.77134,0.43931,1.55804,0.98773,0.0133,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,3703.55,1.58026,1.07966,0.00825,0.81068,0.67826,0.77096,0.4401,1.55812,0.98379,0.01331,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,3785.26,1.57512,1.08193,0.00827,0.81259,0.67742,0.771,0.44023,1.55566,0.98151,0.01328,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,3867.89,1.57892,1.0742,0.00822,0.81475,0.67913,0.77207,0.44084,1.55679,0.97895,0.01327,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,3949.74,1.57213,1.07258,0.00828,0.81611,0.6784,0.77254,0.4413,1.55423,0.97595,0.01327,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4031.65,1.56806,1.06824,0.00831,0.81427,0.68001,0.77273,0.44184,1.55316,0.97847,0.01324,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4113.79,1.57154,1.06728,0.00816,0.81545,0.6804,0.77373,0.44316,1.5525,0.97444,0.01325,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4195.81,1.56962,1.06423,0.00818,0.81302,0.68169,0.7744,0.44311,1.55356,0.97076,0.01326,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,4277.34,1.56749,1.06416,0.0082,0.81221,0.68298,0.77529,0.44379,1.55161,0.96876,0.01326,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
