Model,Total_Frames,Total_Time_s,Avg_FPS,Total_Detections,Avg_Confidence
yolov10n.pt,596,2.5196797847747803,236.53799328047276,426,0.7763536661303659
yolo11n.pt,596,2.0167248249053955,295.5286673916747,420,0.8182869363398779
yolo26n.pt,596,2.1292636394500732,279.908973674077,406,0.813731735930067
runs/detect/yolo_crowdhuman/weights/best.pt,596,2.098568916320801,284.00306292771353,486,0.7961145339556682
