seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
MOT20-01,0.467280112701034,0.7063130649200435,0.33004604857805064,0.467280112701034,0.4640568458645475,0.4594869502665054,0.45327710590890136,0.4460874921481116,0.43801243153080965,0.42944981227939855,0.4205786664977537,0.4085756375915417,0.3959675253041674,0.37900412755712803,0.36017773414622206,0.338352811346,0.3100700303762484,0.2704490502466146,0.22157628152314643,0.16081710640012042,0.0847097587542618,0.015249338402182937,0.3433252009918261,0.5675048828125,0.5561547550519587,0.5452466907340554,0.5314251639833035,0.5160119240872465,0.5009058500379873,0.48412262706232484,0.4697264507267941,0.45276615001697024,0.43551046644867386,0.4109050954539212,0.3817555752831356,0.3477827341905012,0.30597508263412154,0.25274993292846515,0.1878541199324715,0.11554165580748849,0.05122694991915843,0.007690496743310052,0.37478192651865194,0.3847556388303935,0.38721013213962985,0.38721602726460563,0.38662101207462685,0.38563847338021184,0.3830158704694355,0.3809512940676246,0.37657324691708877,0.36869817151100615,0.3600149552639618,0.34957981853853165,0.3398195300186294,0.32917857527404715,0.31421978191764677,0.28938756949145134,0.2613519924464438,0.22383391972500605,0.14007750294579943,0.030237620464059013,0.3199147964600105,0.9358832410669351,0.9238550578761953,0.912128837443382,0.8970306995470558,0.8798691494715651,0.8627075993960744,0.8432310015098138,0.8261701056869653,0.8056366381479617,0.7842476094614997,0.7528434826371414,0.7141922496225466,0.6670357322596879,0.6056366381479618,0.5215400100654253,0.40880724710619026,0.2677403120281832,0.1259687971816809,0.01972823351786613,0.6712764548512701,0.5904616752397283,0.5828729281767956,0.5754746935924303,0.565949069664063,0.5551216104654855,0.5442941512669079,0.5320060963993142,0.5212421413602591,0.5082872928176796,0.4947926589191592,0.4749793611481552,0.4505937638915349,0.4208420651552677,0.38210452784657395,0.32904680256556806,0.2579221439004255,0.1689210643297136,0.07947545564234457,0.012446815266399949,0.42351759566567404,0.5069433236984419,0.5101629839822988,0.5108240933887748,0.5107770660288619,0.5106969546393163,0.5092351357206846,0.5090092366107133,0.5066658604167116,0.5019795847198917,0.49565959754512245,0.4881170485560072,0.47935985562318945,0.46919851911423377,0.4541426903018765,0.4269488095061963,0.3923443053727706,0.3438174634487346,0.2369177750758369,0.058316250894114845,0.443216660770725,0.5423474281181409,0.5453415696584922,0.544241363741297,0.5432567108851591,0.5425690722024195,0.539657583305759,0.5363254320827807,0.5311257742537644,0.5235040548409424,0.5156666512245374,0.5053713651871595,0.4944812952922227,0.48339014014304743,0.46588432850742284,0.43611813265618005,0.3966786345365833,0.34547302660722556,0.2378199043643854,0.06442601343258081,0.4628251832126368,0.7063130649200435,0.7145379104472481,0.7221098286579888,0.7313128482025729,0.7412002469430174,0.7504523437460178,0.7602961757606586,0.7682695969011594,0.7770183954934266,0.7852057579995535,0.7960860592843416,0.8080380936647937,0.8209125696397388,0.835464175723679,0.853041611167456,0.8741911023326558,0.9001498142345682,0.9288494131320629,0.9618693471847359,0.8018588608124063,0.6000719575912273,0.5981020306252998,0.5942986663188045,0.5889065434522639,0.5825044167871689,0.5748310205123629,0.566771507067092,0.5577755455417304,0.5450107846524026,0.5313575707902832,0.5130096373833616,0.4926423394407767,0.46858710183073204,0.4362373348994665,0.3884934953192659,0.32686784570793825,0.24480474568452393,0.13283596861654498,0.024424062674738695,0.46144908288926223,18596.0,18357.0,18124.0,17824.0,17483.0,17142.0,16755.0,16416.0,16008.0,15583.0,14959.0,14191.0,13254.0,12034.0,10363.0,8123.0,5320.0,2503.0,392.0,13338.263157894737,1274.0,1513.0,1746.0,2046.0,2387.0,2728.0,3115.0,3454.0,3862.0,4287.0,4911.0,5679.0,6616.0,7836.0,9507.0,11747.0,14550.0,17367.0,19478.0,6531.736842105263,12898.0,13137.0,13370.0,13670.0,14011.0,14352.0,14739.0,15078.0,15486.0,15911.0,16535.0,17303.0,18240.0,19460.0,21131.0,23371.0,26174.0,28991.0,31102.0,18155.736842105263,0.055359838953195774,0.7768851952707206,0.07408152994464016,0.8295420231504781,0.5233695307042612,0.7297297297297297,0.22972972972972974,0.04054054054054054,-0.12972326755675445,0.641811385406121,34.99067599067599,0.07395216190539095,12805.398673647289,16483,3387,15011,372,54,17,3,197.0,429,0.4177244762868935,0.539909411172622,0.34063631167841496,10728,9142,20766,31494,19870,159,74
MOT20-02,0.4285073359850285,0.6965926715381124,0.29849506994749053,0.4285073359850285,0.42398716001131226,0.4186108523851905,0.4120504916586597,0.40612818312963217,0.3990320486639214,0.39172514294246197,0.3840958478485796,0.37504013525661023,0.3650051866283675,0.3529849326923657,0.3374127731203019,0.31739742006335403,0.2914961393016332,0.25893054411369887,0.21618593728906188,0.1561566841292741,0.08096749154414687,0.01538303714449352,0.3174261759951629,0.6236566947429567,0.6052743818753827,0.5866278778569878,0.5673231933833321,0.5508642952434183,0.5314272592497099,0.5142909497954452,0.4965787940347396,0.4775799743460178,0.4568319958303632,0.43183170740894194,0.40153523406420405,0.3653561576920867,0.32080067267066936,0.2668868477884128,0.20351362646269186,0.12994768444206647,0.057887325511498985,0.008973977853040164,0.3998520342237876,0.2944224579657009,0.2969977207650416,0.29871585096638686,0.29927492768909497,0.29942056974175757,0.2996206406230056,0.2983692162468057,0.29709206697255447,0.29451633361701346,0.2916362852900558,0.2885345391968637,0.28353023547250783,0.2757340204671612,0.2648685195089553,0.25121142997713125,0.22964732285441294,0.18765174695453088,0.11324991488247693,0.026369335389957563,0.2574138491884955,0.9435899755722428,0.9262643626164843,0.908279587959313,0.8892091352056972,0.8725749957994597,0.8524705639063732,0.8343177676390379,0.8151180674929883,0.7940119683085394,0.7703338460146567,0.7408912900182238,0.7038037507593284,0.6573587002882216,0.5966641248012822,0.5175130216747877,0.41540758165204017,0.28251541275154773,0.13442375050083363,0.021849271690943636,0.6671893249816843,0.6478094012733202,0.6359147274784268,0.6235675148073382,0.6104749439872225,0.599054992346769,0.5852525566228177,0.5727899909048559,0.5596086869717607,0.5451185696222187,0.528862663324386,0.5086492601876705,0.48318729341822136,0.451301049269061,0.40963197941391777,0.3552918210253111,0.2851926617715566,0.1939572750061004,0.09228687415426251,0.015000332749173673,0.45805013654391535,0.3771086340524399,0.38085248648816206,0.3837166999403221,0.3855805925972592,0.3865990484401423,0.3878847988898481,0.38711024521807086,0.3864908809052137,0.3844375469534053,0.3820502828584344,0.3796235599025019,0.37534230833675003,0.36888166107385023,0.359032477063048,0.34541568223681174,0.32246274431341965,0.27458768505103837,0.18077572984091417,0.04850631175973616,0.34191891452217726,0.503392794140886,0.5036548814917439,0.5031578648512521,0.5027406584781758,0.5024941140391305,0.5014690040455547,0.5000217073632525,0.4983537838653572,0.49489369168952513,0.4905698899867424,0.48482663590155317,0.4768105178873014,0.4666496205971545,0.4529221363156117,0.43523032225135694,0.4063117422816063,0.349308970280596,0.2313271455822786,0.061489161694718734,0.44029603382862087,0.6965926715381124,0.7082176843681397,0.7197409549561149,0.7314384909691232,0.7411004111413869,0.7520945297870697,0.7614043023321112,0.7704909887877642,0.7796697066718669,0.7890168690404422,0.7994798095344118,0.8112948469711304,0.8243561818964202,0.8394067580256975,0.8567843354948254,0.8765777926100567,0.9005075983554365,0.9284851601220164,0.9617937067287612,0.8025501473332046,0.5270807148054037,0.5244982407243897,0.5208814740731958,0.5158662613887127,0.5111427416922654,0.5053887379729414,0.4989336012248967,0.49210274485941047,0.4835798731897961,0.47398027520659164,0.46235562823478005,0.44670979749634615,0.42574189049180844,0.3975393607936479,0.36056231944937,0.3088644346955748,0.23024880183055954,0.12338346040860876,0.024003140903740033,0.4122559736548441,146013.0,143332.0,140549.0,137598.0,135024.0,131913.0,129104.0,126133.0,122867.0,119203.0,114647.0,108908.0,101721.0,92329.0,80081.0,64281.0,43717.0,20801.0,3381.0,103242.21052631579,8729.0,11410.0,14193.0,17144.0,19718.0,22829.0,25638.0,28609.0,31875.0,35539.0,40095.0,45834.0,53021.0,62413.0,74661.0,90461.0,111025.0,133941.0,151361.0,51499.78947368421,79382.0,82063.0,84846.0,87797.0,90371.0,93482.0,96291.0,99262.0,102528.0,106192.0,110748.0,116487.0,123674.0,133066.0,145314.0,161114.0,181678.0,204594.0,222014.0,122152.78947368421,0.15917462615191738,0.7801924404646333,0.1735081619728322,0.8150469814271497,0.559559883759622,0.7,0.28888888888888886,0.011111111111111112,-0.019978861742251768,0.663560768880693,35.68404025880661,0.17348653913260903,98399.43097628048,126122,28620,99273,2218,189,78,3,1555.0,2782,0.3555981133117797,0.43677863799097855,0.2998646820027064,67588,87154,157807,225395,154742,806,270
MOT20-03,0.5208033396869151,0.7102868062873189,0.3699197408499886,0.5208033396869151,0.517505218061276,0.5133833048663482,0.5077914928608541,0.5011493089015095,0.49366113616515406,0.4857078790589686,0.4770695289333639,0.4677133067396656,0.45723414016124897,0.4428161130708087,0.42077971911146717,0.3841884843557272,0.3259998113085844,0.2485642713617585,0.16071018130544046,0.08214553050935348,0.02737298438062701,0.003473132015017479,0.37042467804495205,0.6064370936917937,0.5989624386712781,0.5906465034405505,0.5807714251068,0.5694957338001844,0.5575617141883382,0.5451680223226604,0.5320987083448935,0.5185900263730304,0.5032174156326323,0.4823328965101995,0.4517207322171531,0.40462475734243375,0.3337917986152112,0.2441714374226496,0.1484666333524938,0.06897705962615189,0.019833763182430863,0.0017977522427809602,0.40835083747808776,0.4472617546823302,0.44712595219619267,0.4462270007190888,0.44398224340055575,0.44100528749628953,0.4370840234513505,0.4327329082415181,0.42773141875243936,0.4218278913524609,0.4154527495161665,0.4065368781890512,0.39195803820314873,0.36478438067158697,0.31838971902286145,0.25303613579771944,0.1739634138123582,0.09782800570560617,0.0377780185741946,0.006709848947305193,0.33744292993327496,0.9570615128579536,0.9496840507814244,0.941394767549369,0.9314380631133272,0.9199159594207704,0.9075394219181402,0.894483800827653,0.8804876649089135,0.8657678108002984,0.848695075528123,0.8249335263248506,0.7888687678936931,0.7303145464167979,0.6344617385815123,0.49754509688896825,0.3277391298803155,0.16358900458461126,0.0493052943014366,0.0045495412200549645,0.6904091986209586,0.6233983610846912,0.6185929251689378,0.6131935589714623,0.6067080894965714,0.5992029704820804,0.5911413014133879,0.5826372996523639,0.573520677495857,0.5639326491367244,0.5528120314492314,0.537334540576237,0.5138431442586047,0.4757028521113599,0.41326748875478153,0.3240844959276319,0.21347847937234446,0.10655649190718074,0.03211584547844615,0.00296342137069141,0.4497098223215044,0.5165348718154317,0.5168884949817423,0.5167331302401101,0.515451848150357,0.5137594567214333,0.5113576285481982,0.5085278787699314,0.5050838003663224,0.5008434425454018,0.4962083564616456,0.48942522941801964,0.4778244964261482,0.4549457935545222,0.4128523478015411,0.34658854231692315,0.255760680708814,0.15478585973914996,0.06409726099992488,0.012025942332093352,0.40893131904724794,0.6976696903521625,0.6978277681834418,0.6971380844888763,0.6952275071624585,0.6924584035377438,0.6886406087338338,0.6844575989693998,0.6794090747498036,0.6732971038487426,0.6661958935029932,0.6556420034187775,0.6380844205108887,0.6059880896734166,0.550416838889577,0.4643738977888504,0.34603220371083687,0.2139268032073847,0.09025020606064417,0.017058862183391043,0.5502155294196432,0.7102868062873189,0.7152139425704536,0.7204053108292882,0.7262270587567959,0.7324967979320294,0.738730532306617,0.7447654953483402,0.7506446149950087,0.7561784629008087,0.7618248687007341,0.7685991020537448,0.7773664878812481,0.7894126334605571,0.8064286693202601,0.8285041085365367,0.8559320848005962,0.8876093186557694,0.922951504499094,0.9603957406960978,0.7870512389753316,0.6542606602721684,0.6516351628719722,0.648132520103874,0.6430722827565525,0.636936262240408,0.6298182134336013,0.6221515703645512,0.6136874107438672,0.6043219423707252,0.593795168916849,0.579107848768768,0.5560606573597408,0.5161466259795782,0.44945088127372035,0.3548195156722449,0.23877733953177285,0.12650528081419282,0.04315850233645513,0.005525100394210714,0.48249278664238165,300190.0,297876.0,295276.0,292153.0,288539.0,284657.0,280562.0,276172.0,271555.0,266200.0,258747.0,247435.0,229069.0,199004.0,156059.0,102798.0,51311.0,15465.0,1427.0,216552.36842105264,13468.0,15782.0,18382.0,21505.0,25119.0,29001.0,33096.0,37486.0,42103.0,47458.0,54911.0,66223.0,84589.0,114654.0,157599.0,210860.0,262347.0,298193.0,312231.0,97105.63157894737,181348.0,183662.0,186262.0,189385.0,192999.0,196881.0,200976.0,205366.0,209983.0,215338.0,222791.0,234103.0,252469.0,282534.0,325479.0,378740.0,430227.0,466073.0,480111.0,264985.63157894736,0.22289882610996692,0.7569926034149824,0.2304612029662881,0.8828469224441908,0.5750574201828308,0.7193732193732194,0.21082621082621084,0.0698005698005698,0.008360493903709224,0.6964622558463573,85.08357588357589,0.23045044247337962,209620.33579684963,276912,36746,204626,2372,505,148,49,1581.0,2405,0.4475148265333327,0.5672770979857041,0.3695056257242419,177931,135727,303607,481538,313658,1994,702
MOT20-05,0.4347596222168123,0.7069092743279968,0.3073356090484008,0.4347596222168123,0.4306495771589292,0.4254156565418689,0.419497706986043,0.412417272977689,0.40484527366674217,0.39662258988917,0.3881341381292036,0.3790823874459826,0.3688951383393171,0.3575753085299565,0.34355735529540077,0.32537707476608796,0.2993567048470351,0.25894062367158593,0.19848913390779596,0.1208735279631881,0.04772930860517347,0.006110569972788128,0.3167541563637247,0.6323593766649734,0.6180936060767345,0.6026184684295791,0.5865841457222007,0.5692567500367985,0.5519006689150711,0.5340274381736921,0.5158647735449725,0.49703553093361086,0.47627490515107995,0.45385506322290786,0.42817963102757245,0.396324962256704,0.35371302673708704,0.2931405403677687,0.21088983538620928,0.11775594475295457,0.04151127222993052,0.004302105988768314,0.4149309497694008,0.2989058691704144,0.3000501161698481,0.3003201699121144,0.3000052549151051,0.2987896182862278,0.29697317804034223,0.2945719031748101,0.2920302313842067,0.2891210940228347,0.2857249492227952,0.28172011646699635,0.2756592042790789,0.26712988296397816,0.25335350966161846,0.22873071907184825,0.18681761597146804,0.12407364904523029,0.054878754072136986,0.008679252786849638,0.24408079413778436,0.9456930055821667,0.9325080761947199,0.9179399824242199,0.9025457032168629,0.8855562981941505,0.8681584419442279,0.8498307402869061,0.8307634943621354,0.8105080266854802,0.7875759657396062,0.7620756129862736,0.7318889012661988,0.6928941863775328,0.6378615721659054,0.553391073484089,0.42516059559615316,0.25718038691470796,0.09729803324545443,0.01045727971482678,0.678909861914822,0.6561879365242951,0.647039310535842,0.6369309483782176,0.626249320992028,0.6144608837731588,0.6023890345311785,0.5896719935244646,0.5764418049910575,0.5623871451176912,0.5464752776686356,0.5287813497712307,0.5078356983207838,0.48077843835681144,0.44259296236417156,0.38398142363012155,0.295006151329138,0.17844973623358304,0.06751217920228103,0.007255991909874976,0.4710751361660297,0.3623118307517799,0.3639699145347687,0.36481933176719733,0.3651502886113171,0.36474035154699813,0.3637097011619664,0.36212381446723657,0.360284721827288,0.35805509077998743,0.35535495614557294,0.352200610672404,0.34706000819743166,0.3393267888563155,0.32612662221889366,0.30183391087390493,0.25743697860365533,0.18339321496493916,0.08820527958811991,0.01481605612031512,0.30689049851000477,0.5747643259251655,0.5766991171792305,0.5773500323674173,0.5768455735162047,0.5752810260100542,0.5728380026756384,0.5698862506087403,0.5660423066547221,0.5614765978492017,0.5558040012572716,0.5487814575438158,0.5386291126509314,0.5248123321339718,0.5027050127991194,0.4633242848555947,0.39254419754570297,0.2797324386210479,0.13741741189581205,0.024814399589707145,0.47998673061470265,0.7069092743279968,0.7158426868626601,0.7252035131780887,0.7345827706083915,0.7443490387442209,0.753754678059577,0.7630000617558189,0.7719024592090454,0.7805595923975573,0.7894402464068357,0.7982709031177968,0.8074471378186688,0.817648435060895,0.8298144341330362,0.8455600716817973,0.8663990080853183,0.8930481152842402,0.9245290529264086,0.9608769213147792,0.8015336000512177,0.5316701889347559,0.5289604489860723,0.5250484658493586,0.5203541618610422,0.5143880133793897,0.507759560763487,0.5003361455489416,0.4925525915921329,0.4840815710080223,0.4743733791224407,0.46334871365651875,0.4491680221740298,0.43022406129068513,0.40200058207235206,0.35577737163281997,0.28182882903330303,0.1786317694794854,0.07307253135193759,0.009526876408759405,0.406479120218186,611243.0,602721.0,593305.0,583355.0,572374.0,561129.0,549283.0,536959.0,523867.0,509045.0,492563.0,473052.0,447848.0,412278.0,357681.0,274800.0,166227.0,62888.0,6759.0,438809.3157894737,35101.0,43623.0,53039.0,62989.0,73970.0,85215.0,97061.0,109385.0,122477.0,137299.0,153781.0,173292.0,198496.0,234066.0,288663.0,371544.0,480117.0,583456.0,639585.0,207534.68421052632,320263.0,328785.0,338201.0,348151.0,359132.0,370377.0,382223.0,394547.0,407639.0,422461.0,438943.0,458454.0,483658.0,519228.0,573825.0,656706.0,765279.0,868618.0,924747.0,492696.6842105263,0.19360742886141127,0.782820914826641,0.20262275197108662,0.8219075291176215,0.5702969170354244,0.5859709153122327,0.3413173652694611,0.07271171941830624,0.015106303590550286,0.6733656557974459,120.74539969834088,0.20261692621109179,415861.86868793063,531235,115109,400271,5827,685,399,85,4745.0,3315,0.34803688563551666,0.42481248375478076,0.29476460699125934,274575,371769,656931,931506,646344,3365,1169
COMBINED,0.4608546767023306,0.7064413149784167,0.32556678382354753,0.4608546767023306,0.456901034845404,0.45195071509372037,0.4459938529870473,0.4391588965819049,0.43162520650772546,0.423569805788246,0.4151104557067922,0.40587776913237184,0.3955492077855711,0.3830601101991823,0.3662812536503351,0.342143121887021,0.30635402063361716,0.25619023437325944,0.1912326014290584,0.11749754401804251,0.049942815927332615,0.007784946586315576,0.334056751043962,0.6225275599434194,0.6097169138263441,0.5959472893820211,0.5812585242473431,0.565800191722865,0.5497252039834094,0.5335088905936705,0.516900350322657,0.4995572784387114,0.4803501263647285,0.4579443770660797,0.43019009557048815,0.39345640459989417,0.34259386031513206,0.27458378458463445,0.1911205774364049,0.10503464971244758,0.03761048359348697,0.0042824075731901735,0.41011099838299614,0.3411688842462062,0.3423860334342938,0.34274750890390976,0.3422066233949792,0.3408633282003223,0.33889717543032494,0.33628564310493414,0.333365396888468,0.3297655155595572,0.3257190270019704,0.3204211152583632,0.311866679770358,0.2975219477584491,0.273947658816924,0.23902881332745096,0.1913446910837934,0.1314392239900595,0.06631887241097227,0.014152177791577797,0.27470770086173235,0.9483771573416158,0.9362532103429008,0.923004651802287,0.9086173800076501,0.8931848188018128,0.8768100869546824,0.8599435578972232,0.842295265173883,0.823449208277,0.8020621991267515,0.7764014898458859,0.7435004327462909,0.6979395635872641,0.6307387358167623,0.5325018023750808,0.3966124162049825,0.23494774434301005,0.08959610933762495,0.010540148455774386,0.6803566304441307,0.6443623786103994,0.6361249223771253,0.6271233636319541,0.617348121152166,0.606862670538279,0.5957370744814313,0.5842773332822335,0.5722864330485116,0.5594817277100339,0.5449506058027478,0.5275157745849683,0.5051615843270358,0.4742058513724802,0.42854713332810357,0.3618013417304766,0.2694730866447935,0.15963215290673338,0.060874897376122276,0.007161365156566161,0.4622593588453769,0.4098437185220277,0.4116541107383286,0.4127147757157349,0.41298852415840287,0.41259911846406044,0.4116697497845766,0.4100505734971907,0.40810188379818013,0.40549221987845013,0.402456324583814,0.3983838918039258,0.39129183165498577,0.37874176066672877,0.35664102018026517,0.3213163873304238,0.2687779357326036,0.19604381478374183,0.10714106172262804,0.025433778195105616,0.34428118322164075,0.5988070354525843,0.6002672628171597,0.6005944796703702,0.5999220782969518,0.5983813795101638,0.595937920117299,0.5930103365335653,0.5892695174757812,0.5845706579897224,0.5788633911291222,0.5711084962797737,0.5590771557735931,0.5401294090723912,0.5089306427157587,0.45940506748174575,0.3839603148798681,0.2797881985532863,0.15192977180039471,0.03555593077330423,0.496289949806465,0.7064413149784167,0.7146150076190405,0.7230639930325206,0.7317386628888135,0.7404873360620019,0.7491787387773454,0.7574991629638674,0.765510684327733,0.7732954754304802,0.7812342980046152,0.7896757872442297,0.7991307681130584,0.8103969850131317,0.8246439626313639,0.8427705984610809,0.8656026090688318,0.8933662890290991,0.925204934183402,0.9611112249925815,0.7976298859379797,0.5688205135320172,0.5661802036272809,0.5624567051000054,0.5576153562899884,0.5517734589800307,0.5451132559915962,0.5377607947790661,0.5298981934031941,0.5210999450245356,0.5111231936574843,0.4987739280121541,0.4815319422098705,0.4556888613694269,0.4156794438051374,0.35676781513534034,0.2754808164986072,0.1757308999426684,0.07708380467829459,0.012213355595238487,0.431620657243786,1076042.0,1062286.0,1047254.0,1030930.0,1013420.0,994841.0,975704.0,955680.0,934297.0,910031.0,880916.0,843586.0,791892.0,715645.0,604184.0,450002.0,266575.0,101657.0,11959.0,771942.1578947369,58572.0,72328.0,87360.0,103684.0,121194.0,139773.0,158910.0,178934.0,200317.0,224583.0,253698.0,291028.0,342722.0,418969.0,530430.0,684612.0,868039.0,1032957.0,1122655.0,362671.84210526315,593891.0,607647.0,622679.0,639003.0,656513.0,675092.0,694229.0,714253.0,735636.0,759902.0,789017.0,826347.0,878041.0,954288.0,1065749.0,1219931.0,1403358.0,1568276.0,1657974.0,897990.8421052631,0.1945877628867615,0.7748466836090884,0.20409672364345935,0.8379519378396529,0.5693354164508396,0.6469525959367946,0.2898419864559819,0.06320541760722348,0.0059201051059726,0.6780075356198345,80.52636882767887,0.20409316914722267,736687.034134708,950752,183862,719181,10789,1433,642,140,8078.0,8931,0.3785438432659535,0.46784368957196015,0.3178702379077484,530822,603792,1139111,1669933,1134614,6324,2215
