seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
MOT20-01,0.5475943362123622,0.7721939103945796,0.42284901178974815,0.5475943362123622,0.5455186444423424,0.544187424284822,0.5425599358683708,0.5403832392876893,0.5363578599080002,0.5310919273457907,0.5254327029424403,0.5205652851971678,0.5129165189698797,0.5031352787288244,0.48847501769519747,0.46712231658164766,0.43757423202517537,0.3886200379483699,0.3190837269567696,0.22720389678183037,0.11366067749726963,0.021747557738888045,0.43753845349541254,0.6959626737764235,0.686727591268526,0.6802830188679245,0.674989420228523,0.6695725534308211,0.662714712471994,0.6532999164578112,0.642929619038834,0.6332125991472193,0.6199181446111869,0.599766470561818,0.5716050472072708,0.5294976384714469,0.47490891023517723,0.39628410159924743,0.29257229943031315,0.17743108349309183,0.07567339050609977,0.012218686065014776,0.5131351514141445,0.4308558035515951,0.43334590777763904,0.435318749015024,0.43611244145105105,0.4361200945391296,0.4340929037353268,0.4317444839442,0.4294086275479604,0.42795771359787027,0.4243840218569259,0.42207279187248276,0.4174348076142887,0.41209486652011124,0.40317459707716274,0.3811041959178089,0.34799748645675577,0.29093893638348034,0.1707172035340084,0.03870762085953449,0.3791359606974924,0.7356819325616507,0.7298943130347257,0.7258178158027176,0.7224458983392048,0.7189733266230498,0.7145445395067942,0.7084046300956215,0.7015601409159536,0.6950679416205334,0.6860593860090589,0.6721187720181178,0.652038248616004,0.6206341217916457,0.5772521389028686,0.5088072471061902,0.405787619526925,0.27015601409159534,0.12611977856064419,0.021640664318067437,0.5785791857600721,0.9280091416962926,0.9207084814626714,0.9155662772981209,0.9113128491620112,0.9069324530218384,0.9013458608430676,0.8936008125952261,0.8849669883189436,0.8767775520568817,0.8654139156932453,0.8478288471305231,0.8224987303199593,0.7828847130523108,0.7281615033011681,0.6418232605383444,0.5118715083798883,0.3407821229050279,0.1590909090909091,0.027298120873539868,0.7298354761968404,0.4752329317060529,0.47767044256729224,0.47978529623905997,0.4808788516480491,0.4811622602970346,0.4797302144877638,0.4781468984156498,0.47686334088332016,0.476296124580754,0.474346990216211,0.4731499447086021,0.4702035877816129,0.46674405647277384,0.4611723445461043,0.44660100106585543,0.4231305964897624,0.3809166621131089,0.259609059820039,0.07164246355126441,0.43333068776791106,0.7266133568136162,0.7296323265649958,0.7321415705706845,0.7335990092469772,0.7342715257572869,0.7329718395263628,0.7306469543397855,0.7284795946833116,0.727022556898333,0.7228571254521862,0.7179873035540361,0.7072773776275004,0.6907631768338118,0.6687166626154755,0.6284552927064868,0.5645659835749239,0.4698538261898353,0.30250646114137214,0.0786136473911054,0.638261873236215,0.7721939103945796,0.777711889781111,0.7813868760837117,0.7842225819874052,0.7868919451806407,0.7900634031614562,0.7940855509837614,0.7981846596971441,0.8016591030835325,0.8059184766962203,0.8117250041327541,0.818979039536648,0.8286773294196533,0.8400267423242246,0.8552500421222868,0.8752924848704605,0.9004626858174178,0.9296396449844561,0.9617170758512052,0.8270572866372984,0.5630034015991736,0.5624026259396104,0.5621050645458162,0.5613088673279698,0.5599631373384831,0.5569369030713679,0.5530368807270597,0.5488679051038359,0.545398649696808,0.5395856201449568,0.5326190445107944,0.5217120478464911,0.5057273332316088,0.4824245003252783,0.44035051582297313,0.3757832774760477,0.28035495964474977,0.14673382672785973,0.028942332828785777,0.46669773125840375,14618.0,14503.0,14422.0,14355.0,14286.0,14198.0,14076.0,13940.0,13811.0,13632.0,13355.0,12956.0,12332.0,11470.0,10110.0,8063.0,5368.0,2506.0,430.0,11496.368421052632,5252.0,5367.0,5448.0,5515.0,5584.0,5672.0,5794.0,5930.0,6059.0,6238.0,6515.0,6914.0,7538.0,8400.0,9760.0,11807.0,14502.0,17364.0,19440.0,8373.631578947368,1134.0,1249.0,1330.0,1397.0,1466.0,1554.0,1676.0,1812.0,1941.0,2120.0,2397.0,2796.0,3420.0,4282.0,5642.0,7689.0,10384.0,13246.0,15322.0,4255.631578947368,0.594212380473075,0.8044455723758381,0.6139909411172622,0.7033719174635128,0.8872524123920772,0.4594594594594595,0.47297297297297297,0.06756756756756757,0.45666488774658853,0.7846836224804896,4.13986013986014,0.613860372795653,11242.931319524714,13976,5894,1776,393,34,35,5,492.0,429,0.5039020829824266,0.45168595873175643,0.5697689182326053,8975,10895,6777,15752,19870,161,74
MOT20-02,0.44752958136944376,0.768823496584378,0.3440712575733987,0.44752958136944376,0.44563412996852975,0.4434627894332394,0.44080326665691033,0.4380170944576274,0.4345951230788709,0.4315286616516706,0.4278129083205956,0.42343608437251107,0.41802586288183763,0.41127829895170975,0.4010990542767492,0.3841592388311868,0.3593067442220953,0.32415805200721515,0.273079823977993,0.19933873491327306,0.10243952427116786,0.019778107475640433,0.35923595163780353,0.6896307474361738,0.6790407579921532,0.6686334383629972,0.6600101662914821,0.6513065620052612,0.6401303399001524,0.6315072648225575,0.6230704147018277,0.6132200299920609,0.6008309942168871,0.5847761659647481,0.5609423011266644,0.5229424011103401,0.4668028382142991,0.3930459422814225,0.299140441855509,0.18971618902227466,0.08274095446346459,0.012620846729986231,0.503689936657382,0.2904202385773787,0.2924563444174043,0.29412116464499116,0.2944007983804156,0.294575528989607,0.2950538495541382,0.2948770286581037,0.29374510521946867,0.29238790120904173,0.29083989294837453,0.2892556999301657,0.28680392086417944,0.2822076015752603,0.27656502033566166,0.2673439193168818,0.24928956379582987,0.20944934347252114,0.12682783515069185,0.030994238634447845,0.2606113155618191,0.7235592146928436,0.71694174820023,0.710356593555725,0.7048377298987993,0.6992090059583048,0.6918936035465485,0.686180868800972,0.6805327577516124,0.6738635923020253,0.6653591138798775,0.6541404402166187,0.6370603973064843,0.6087229065153611,0.5641713303434103,0.5001809463494074,0.40819557715423094,0.28268989673133343,0.1354706543795479,0.022094841736567963,0.5666032220694684,0.9363344427904798,0.9277709946645704,0.9192493602502132,0.9121075783170818,0.9048236297646725,0.8953570054692335,0.8879643412667882,0.8806553044874476,0.8720249544230544,0.8610195855424911,0.8465018648915352,0.8243991369649936,0.7877285119336332,0.7300757664453328,0.6472678920871733,0.5282326180401077,0.36581979962869426,0.1753081670541404,0.028592215959457424,0.733222798420058,0.33127635059280774,0.33361396662618353,0.33566423429755876,0.33643343187412456,0.33708615545578946,0.33806942016058833,0.33833565863913573,0.33774790012875594,0.33699250325114455,0.33618044706555833,0.33548907298477176,0.3344529523710669,0.3318045456852738,0.3288530098484889,0.32296222795129875,0.3093239361081517,0.27363998012577323,0.18327554138402144,0.05124227579360576,0.30697071633389994,0.6832346393919339,0.6857203784649507,0.6867835945372581,0.6869091557849732,0.6866894449883542,0.6856721194738826,0.6857799000967119,0.6838436008498732,0.6808890556605888,0.6771238719401446,0.6725902254865345,0.6648703210387936,0.6498261835601674,0.6271004778797656,0.5948553168720151,0.5424585051432446,0.4527695973382224,0.29032187271849424,0.0782088692786064,0.6008235331844481,0.768823496584378,0.7752252806482473,0.7812476834299665,0.786000295165797,0.7905188717476052,0.7959631579901911,0.7998995303847652,0.8034219831156932,0.8071627027221574,0.8113929251414397,0.8162781588873321,0.8226980136348552,0.8318251663727599,0.8440660761783749,0.859106604800183,0.8777263086487116,0.9007471544680586,0.9286195131842162,0.9615725271313939,0.8295944973808487,0.4584061951544246,0.4579019139934473,0.45708960676202043,0.45552693708588327,0.45383902741441806,0.4518250449104098,0.44982104854493715,0.44710531928287606,0.44388012058930343,0.4399010950805293,0.4349871847393722,0.4274475637722031,0.4144710260942512,0.3950063992509774,0.36567791096083113,0.3189967043280624,0.24332943364232076,0.13107802951450578,0.02616892808988449,0.3827610257479293,111965.0,110941.0,109922.0,109068.0,108197.0,107065.0,106181.0,105307.0,104275.0,102959.0,101223.0,98580.0,94195.0,87301.0,77399.0,63165.0,43744.0,20963.0,3419.0,87677.31578947368,42777.0,43801.0,44820.0,45674.0,46545.0,47677.0,48561.0,49435.0,50467.0,51783.0,53519.0,56162.0,60547.0,67441.0,77343.0,91577.0,110998.0,133779.0,151323.0,67064.68421052632,7613.0,8637.0,9656.0,10510.0,11381.0,12513.0,13397.0,14271.0,15303.0,16619.0,18355.0,20998.0,25383.0,32277.0,42179.0,56413.0,75834.0,98615.0,116159.0,31900.684210526317,0.5799265874810976,0.8091184280268653,0.5961923718188985,0.684474803220845,0.8857565772968272,0.42962962962962964,0.5407407407407407,0.02962962962962963,0.4492729610663006,0.7722149314669,4.910496046010064,0.5961703940545194,85699.39654132149,105917,48825,13661,2517,116,146,8,3496.0,2782,0.40309857101195684,0.3572979540137778,0.462367659602937,55289,99453,64289,119578,154742,853,270
MOT20-03,0.5771788057506404,0.7568919309853923,0.43686198080844485,0.5771788057506404,0.5761319054248835,0.574996939809152,0.5738894968070212,0.5725342438200347,0.5709763484352124,0.5693400506881456,0.5672839556070769,0.5646354532734167,0.5607882746061205,0.5519710369594457,0.5313973286517251,0.4874991550588663,0.41115313119963304,0.30664586093140617,0.19178393210517655,0.09476273747610958,0.030692945660008446,0.003763890773713703,0.43775923647567305,0.7245271958688748,0.7202337714790357,0.7166532819601226,0.713617448012058,0.7101105348159201,0.7063220143385892,0.7028397868518883,0.6990985519672287,0.6944677010409058,0.6878580237238312,0.6743352343401628,0.6439848487030663,0.5808361008550464,0.47507740658227327,0.3375094325473268,0.19604095677576458,0.08723249425650834,0.024373871496929034,0.0021245812292370473,0.5314338545707773,0.4597969209537118,0.460861439150342,0.46134091493393403,0.4615206024781094,0.4616118819185698,0.461565665311584,0.46119770021768697,0.4603229192560212,0.4590756267216203,0.4571924410115944,0.45181092448803656,0.4384934233575314,0.4091609075834938,0.35583021830356676,0.2786046105931508,0.18761934862312402,0.1029430201498116,0.03865027816393161,0.006668078189476695,0.3618035221792261,0.7644727697045827,0.761839328185476,0.7596331035714058,0.7577552621007594,0.7555777311594156,0.7532152854382799,0.7510345663110777,0.7486816851475173,0.7457549305294301,0.7415497133820913,0.7328427778025748,0.7127795241951425,0.6685657627097029,0.5860395717628755,0.4591625273386937,0.29824841068934954,0.14599340683164466,0.04329556395819651,0.0038577048887641955,0.5889631381951043,0.9327319547526801,0.9295188971354774,0.9268270861535111,0.9245359348986292,0.9218791330190294,0.9189967169241781,0.9163360251443153,0.9134652787502529,0.9098943503088581,0.9047635718620175,0.8941402542438812,0.8696611118890911,0.8157159750423999,0.7150259067357513,0.5602234358711042,0.3638923897991255,0.17812631284133876,0.05282484557095956,0.004706779318178282,0.7185929452768832,0.4744493814837498,0.47559203077177425,0.4761955659259748,0.4765036034742445,0.4767828154847316,0.4769812300801609,0.4769006029757939,0.4763829723862918,0.4756010858909538,0.4744455092290492,0.47099771058974677,0.4621435709674489,0.441467614767139,0.4008416475171447,0.33467220774638284,0.24375953457256794,0.14479617137598033,0.058827091948226336,0.010871574664838474,0.3856953643080105,0.8925570458583457,0.8944768958669609,0.8955372534361,0.8961247530290334,0.8963805899569004,0.8964826623988121,0.8960848549139018,0.89501674532982,0.8932123634149984,0.8902884377085689,0.882323827395889,0.8627569326949369,0.8206059053762238,0.7429249418176784,0.622260150524112,0.4604388991219736,0.28144038267172206,0.11587361461254676,0.022280854415852005,0.7240561637128619,0.7568919309853923,0.759249458391897,0.7610959981450416,0.7625493753728384,0.764096152083695,0.7656311617922854,0.7669154098617127,0.7681441363088976,0.7694840270328093,0.7711406242836585,0.7740284651542162,0.7795315384993561,0.7895407891817264,0.8053695875845731,0.8271626061680132,0.8550654417590964,0.8872649202132254,0.9226671109532907,0.960592529037307,0.8024432243583701,0.5928762313190866,0.5925389178685971,0.5919880328315229,0.5913710046119104,0.590579087350933,0.5896255713129938,0.5885366724059402,0.5870565040101527,0.5851135890692819,0.5822636203581729,0.5754184329193514,0.559060939132292,0.5230210074648559,0.4566514959516861,0.3576657617499384,0.23655268449421102,0.12259283103513696,0.04090703595041551,0.005071831802239321,0.4615205921915114,239783.0,238957.0,238265.0,237676.0,236993.0,236252.0,235568.0,234830.0,233912.0,232593.0,229862.0,223569.0,209701.0,183816.0,144020.0,93548.0,45792.0,13580.0,1210.0,184733.0,73875.0,74701.0,75393.0,75982.0,76665.0,77406.0,78090.0,78828.0,79746.0,81065.0,83796.0,90089.0,103957.0,129842.0,169638.0,220110.0,267866.0,300078.0,312448.0,128925.0,17293.0,18119.0,18811.0,19400.0,20083.0,20824.0,21508.0,22246.0,23164.0,24483.0,27214.0,33507.0,47375.0,73260.0,113056.0,163528.0,211284.0,243496.0,255866.0,72343.0,0.6709951603338669,0.771171949781189,0.6811941668951533,0.7504001173252396,0.9155619349919868,0.4301994301994302,0.46296296296296297,0.10683760683760683,0.49928256460236525,0.8247940371521585,9.025779625779625,0.6811829922583194,181509.97064804868,235369,78289,21707,3199,302,325,75,5955.0,2405,0.559328864234477,0.5088790976158746,0.6208825405716597,159614,154044,97462,257076,313658,1674,702
MOT20-05,0.402830860610802,0.7631174344718007,0.30740725287538273,0.402830860610802,0.4001858390505221,0.39755393052695676,0.39481515798646577,0.3918360089058624,0.3891956317287423,0.3867949414307874,0.38444972390360677,0.38206368941902935,0.37912794676988854,0.37534338754719,0.36966078849241946,0.35954668710228554,0.3393589811952931,0.3009581327816181,0.23468196524770757,0.14478796270143393,0.05756980758359109,0.007478950854900817,0.3209600207283739,0.6291451961588644,0.6153590928670384,0.6030465561611312,0.5910616767239526,0.5802191450864608,0.5707026756264566,0.5629576959089853,0.5557050478889347,0.5486943953032831,0.5401572574435051,0.5300563621401899,0.5168446282211405,0.4957473643360714,0.45795512008038197,0.3909632922908047,0.2861467944120472,0.1605076376699017,0.056299910931112446,0.005775318892921927,0.4577550088496413,0.25792567955881546,0.26025244062034836,0.26208445444666856,0.26372714576905165,0.26461632501353627,0.2654153313552694,0.2657576720305359,0.26597129317259627,0.26603636563810024,0.26610398738738594,0.2657880720581545,0.26439105891291126,0.26076552192941765,0.2514755552851843,0.23167340636170614,0.19247332448959092,0.13060782930682244,0.058868347931615723,0.009685128549104655,0.22650625999035873,0.6632304160013862,0.6542336588565841,0.6460677286398574,0.6379977225749756,0.6305914497543104,0.6240067208792841,0.6185885534637902,0.613465894322528,0.6084685554441598,0.602321673907393,0.5949602688351714,0.585183741165695,0.569213917047269,0.5394511281917987,0.4827181810305348,0.38209529290903915,0.2375314074239105,0.09153639547980642,0.009861621675145125,0.5153433856632968,0.9244821993909751,0.911941547406468,0.90055899174452,0.8893101455276348,0.878986482406425,0.8698079759840583,0.8622555489419701,0.855115033254833,0.8481492024878583,0.8395810149840842,0.8293198933775006,0.8156923130008713,0.7934318470018892,0.7519452567652666,0.6728647464265073,0.5326056951597181,0.3310969350344625,0.12759331625303003,0.013746193594023619,0.7183412809864261,0.2780106429467693,0.28038419016349,0.28226778805602787,0.28401055181652807,0.28505381000840263,0.28598148562722,0.28642105095015097,0.2867543428052915,0.2869712127791466,0.2872874997841628,0.28736733431571876,0.2865767717752641,0.28417113300434593,0.2773973760641019,0.2617170730344504,0.22797263101337992,0.1674567956022448,0.08295194821740917,0.014636634765353988,0.24912580382786628,0.7306940819594021,0.7361874869554367,0.7402186604371838,0.7438723521963503,0.7454860358982903,0.7469409490523221,0.747475620973546,0.7472821842508457,0.7464977017053718,0.7451297877317808,0.7426325618880831,0.7370802634594689,0.7260473975872884,0.7018257906173637,0.651646680572313,0.553249224915938,0.3946163641657025,0.1964296142482299,0.036128948904998855,0.6404969319747323,0.7631174344718007,0.7725895974885266,0.7807773684067708,0.7884413930584391,0.7950627872232231,0.8005604902188485,0.8047327587556888,0.8083266970807502,0.8114742577352001,0.8149013883801813,0.8184836767201016,0.822520998177961,0.827990721132546,0.8362793199894886,0.8490606400643099,0.8680387185560108,0.8936047814840844,0.9246442653886655,0.9607232438267072,0.8284910809557529,0.4135990277445456,0.41263289550568605,0.41149035006446427,0.41019180681950923,0.40849087140221824,0.40696553980661593,0.40545610602539156,0.40393603111166754,0.40233662907499385,0.400350095687015,0.3976598330293135,0.393341262754643,0.38526791219658996,0.36831884558253564,0.3344143617012743,0.2711884055376018,0.17613478224312026,0.07340705945282934,0.009772976702439096,0.34131341012855027,428675.0,422860.0,417582.0,412366.0,407579.0,403323.0,399821.0,396510.0,393280.0,389307.0,384549.0,378230.0,367908.0,348671.0,312002.0,246965.0,153527.0,59164.0,6374.0,333089.1052631579,217669.0,223484.0,228762.0,233978.0,238765.0,243021.0,246523.0,249834.0,253064.0,257037.0,261795.0,268114.0,278436.0,297673.0,334342.0,399379.0,492817.0,587180.0,639970.0,313254.8947368421,35017.0,40832.0,46110.0,51326.0,56113.0,60369.0,63871.0,67182.0,70412.0,74385.0,79143.0,85462.0,95784.0,115021.0,151690.0,216727.0,310165.0,404528.0,457318.0,130602.8947368421,0.4999597737427747,0.8140169907289513,0.5126217617862934,0.6150146052257003,0.8572737938114093,0.20958083832335328,0.6398631308810949,0.15055603079555174,0.385577506717253,0.7162128075125491,19.964102564102564,0.5126157077877714,323580.70800165617,397511,248833,66181,8184,245,748,176,17703.0,3315,0.36559535006071875,0.31393808869580286,0.43760082123478516,202912,443432,260780,463692,646344,3306,1169
COMBINED,0.4659872537858226,0.7622102979429832,0.3551802835457244,0.4659872537858226,0.46382844509410853,0.4616362098078683,0.45932542018433864,0.4568156865425385,0.45431366730897493,0.45196199311141366,0.44941900977219545,0.4466050323079915,0.44292660282668894,0.43702614514052807,0.4259102322728853,0.4041416458442247,0.3657500113686553,0.30762616186194763,0.23015181343747268,0.14272238956139116,0.06119368020867552,0.00985975020228856,0.36511585003368474,0.6649329121472378,0.6541695507336818,0.6445084389283623,0.6354215701496903,0.626854584250325,0.618630851615694,0.6118264125156064,0.605251083560125,0.5984082657129964,0.5897449411884963,0.5777726172860446,0.5584373289952771,0.5236098014964303,0.4643467156667309,0.3755791431755945,0.2607653972112217,0.1425895134022583,0.05078545831905955,0.005776345830981888,0.4847058385360956,0.32656545754313615,0.3288701319667545,0.3306519780565066,0.3320312868475922,0.33290108537835517,0.3336414725593906,0.3338686252157037,0.33370852499193665,0.3333109957048681,0.33265902221429394,0.3305657724547949,0.3248341694512282,0.3119316510861614,0.2880887627773867,0.251967813392846,0.2031322322480206,0.14285538954501326,0.07373501434122709,0.016829787705942175,0.276955219656903,0.7007149568046931,0.6938579992843381,0.6876268052394912,0.6816987980053129,0.6760492995855859,0.6705699030683563,0.6659938974840783,0.661535112381832,0.6568559880276464,0.6508742180159949,0.6424995637282812,0.628702801128842,0.6029680578593248,0.5563636620031129,0.4790448557835528,0.36289081573116494,0.21895640279425427,0.08479800178739201,0.010076554669693835,0.5437935628096288,0.9286798941242708,0.9195921494969034,0.9113337491735759,0.9034771720060086,0.8959897114582677,0.8887276923903572,0.8826629661557438,0.8767535959668169,0.8705522031356223,0.8626243724433418,0.8515251758560352,0.8332398860878077,0.7991328095615222,0.7373665164502194,0.6348934350973837,0.48095077899960054,0.29018990816471946,0.11238549792196688,0.013354779476181465,0.720706962840334,0.3483838191933839,0.35077112298169616,0.3526662464603931,0.3542072403182739,0.3552831693060357,0.3562352200485729,0.3566681839985958,0.3567669983119497,0.3566814783447324,0.35650378924947695,0.35535436713266816,0.3515532507646731,0.3422349509028809,0.3237984662283641,0.2932083564369043,0.24786121902405228,0.18658908779870353,0.10600673974342313,0.0273289701394387,0.3041106671781167,0.7727529676587971,0.7770004083513722,0.7799740632257066,0.7824344149607604,0.7836047207532948,0.7844935531620929,0.7848208677834303,0.7842530776681285,0.7830048938653072,0.7809561469668487,0.7765023196341262,0.7659486422038668,0.7439009111814144,0.7028575800783294,0.6353416165595801,0.5307288318854927,0.38562060753095045,0.20827979579930708,0.04884507536126776,0.663753710243688,0.7622102979429832,0.7690062551311998,0.7748443425224496,0.7800625809682705,0.7847020667615118,0.7888715699539111,0.7920659486852235,0.7948786204944254,0.7975101217430779,0.800463662907324,0.8040361678482969,0.8090076419802388,0.8167453892727693,0.8284236906976356,0.8448039695848953,0.8667193931747664,0.893842007381646,0.9253614427303221,0.9610007635060637,0.820766101751948,0.47836105660499106,0.47769150274086786,0.4768282325084306,0.47575763697933515,0.4744023035371122,0.47300098299446924,0.4715447666500579,0.46985094081348416,0.4679073876358438,0.4653162160828849,0.46085612134993714,0.4519116641959445,0.43368747023666165,0.4003524934863938,0.3474246462599812,0.27150473561574695,0.17685898963453348,0.07907326904776829,0.013022529550677455,0.3876501550486906,795041.0,787261.0,780191.0,773465.0,767055.0,760838.0,755646.0,750587.0,745278.0,738491.0,728989.0,713335.0,684136.0,631258.0,543531.0,411741.0,248431.0,96213.0,11433.0,616995.7894736842,339573.0,347353.0,354423.0,361149.0,367559.0,373776.0,378968.0,384027.0,389336.0,396123.0,405625.0,421279.0,450478.0,503356.0,591083.0,722873.0,886183.0,1038401.0,1123181.0,517618.2105263158,61057.0,68837.0,75907.0,82633.0,89043.0,95260.0,100452.0,105511.0,110820.0,117607.0,127109.0,142763.0,171962.0,224840.0,312567.0,444357.0,607667.0,759885.0,844665.0,239102.2105263158,0.5597983102623447,0.7997537192627141,0.5723955459742256,0.6634617588007904,0.8793070419508047,0.3146726862302483,0.5661399548532732,0.11918735891647855,0.42694256065106817,0.7562851884149993,11.569253163139626,0.5723918838271044,602033.0065105511,752773,381841,103325,14293,697,1254,264,27646.0,8931,0.4287812601722399,0.37615435734091063,0.4985293739735404,426790,707824,429308,856098,1134614,5994,2215
