epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,206.344,1.75614,1.94258,1.37767,0.60929,0.51441,0.56474,0.28108,1.74865,1.49322,1.43897,0.00997868,0.00332623,0.00997868,0.00332623,0.00997868,0.00332623,0.00997868,0.00332623
2,508.202,1.71121,1.47544,1.32055,0.67297,0.55982,0.62508,0.31331,1.76456,1.48781,1.43227,0.0197809,0.00659363,0.0197809,0.00659363,0.0197809,0.00659363,0.0197809,0.00659363
3,811.034,1.7608,1.4656,1.34187,0.61144,0.48491,0.52124,0.25265,1.89581,1.6717,1.5456,0.0293851,0.00979503,0.0293851,0.00979503,0.0293851,0.00979503,0.0293851,0.00979503
4,1091.68,1.763,1.44861,1.35467,0.68388,0.54686,0.62209,0.31212,1.80809,1.3729,1.47039,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1434.79,1.74008,1.3859,1.33491,0.73526,0.57954,0.66743,0.34706,1.74608,1.25965,1.42644,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1793.19,1.71335,1.34754,1.32261,0.73552,0.57497,0.66225,0.34299,1.74886,1.27345,1.43823,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2119.01,1.6962,1.31138,1.31039,0.75254,0.60239,0.69176,0.3683,1.69859,1.18951,1.41933,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2463.36,1.68523,1.28563,1.29998,0.75507,0.59391,0.68688,0.36922,1.70859,1.20467,1.40778,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2923.47,1.67372,1.27538,1.29452,0.75928,0.61826,0.70862,0.379,1.68784,1.16751,1.41068,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3215.27,1.66006,1.25908,1.29049,0.76793,0.62444,0.71638,0.38475,1.6641,1.15912,1.39307,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3665.15,1.64859,1.24735,1.28487,0.7722,0.62164,0.71434,0.38755,1.65169,1.14346,1.38482,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3955.67,1.64216,1.23307,1.28145,0.77285,0.62813,0.72225,0.39193,1.65165,1.1367,1.377,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,4360.45,1.64679,1.22547,1.27677,0.77855,0.62776,0.72435,0.39619,1.63789,1.15079,1.3721,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
