tracker,weights,num_frames,mean_preprocess_ms,mean_detect_ms,mean_tracker_ms,mean_counter_ms,mean_total_latency_ms,median_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,effective_fps,counter_overhead_pct,status_realtime_30fps
ocsort,best.onnx,50,1.321,28.417,2.672,0.1599,32.57,30.93,36.25,38.74,61.24,28.39,72.32,30.7,0.49,Lolos (Real-Time)
deepocsort,best.onnx,50,1.385,41.678,39.763,0.181,83.01,77.44,106.79,118.48,150.86,56.03,174.5,12.0,0.22,Sub-Realtime
