epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2328.85,1.39502,0.85407,1.25664,0.82101,0.67493,0.76733,0.42976,1.44044,0.77495,1.39041,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2405.44,1.39538,0.8535,1.2549,0.81942,0.68002,0.76915,0.43184,1.43764,0.77403,1.39108,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2477.62,1.3934,0.85083,1.25425,0.82079,0.68178,0.76982,0.43208,1.43724,0.77166,1.3858,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2551.01,1.39129,0.84922,1.24991,0.82119,0.68039,0.77143,0.43424,1.43214,0.77389,1.38031,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2621.1,1.38503,0.84452,1.24805,0.82126,0.68092,0.77145,0.43364,1.43123,0.76866,1.39158,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2689.99,1.39003,0.84806,1.24829,0.82338,0.68239,0.7721,0.435,1.42882,0.7667,1.38374,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2760.06,1.38439,0.84483,1.24872,0.82563,0.6819,0.77336,0.43627,1.42579,0.76263,1.38532,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2829.84,1.37994,0.8414,1.24493,0.82778,0.67989,0.77238,0.43446,1.42846,0.76045,1.38558,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2901.5,1.38062,0.8384,1.24291,0.82476,0.6841,0.77492,0.43605,1.42376,0.75921,1.3834,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2977.69,1.37443,0.83696,1.24318,0.82762,0.68595,0.77483,0.43709,1.42417,0.75877,1.38466,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3051.54,1.37368,0.83523,1.24186,0.82963,0.68438,0.77492,0.43608,1.42411,0.75681,1.3838,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3121.62,1.37223,0.83484,1.24057,0.82669,0.68731,0.7772,0.43818,1.41949,0.75511,1.38478,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
