epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,5433.05,1.47375,0.95458,0.00762,0.83163,0.72574,0.81168,0.48323,1.4741,0.85785,0.01268,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,5610.32,1.47425,0.95268,0.00756,0.83408,0.72523,0.8131,0.48606,1.46657,0.85584,0.01261,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5808.07,1.47008,0.95189,0.00753,0.83212,0.7279,0.81238,0.48516,1.46682,0.85672,0.01262,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5993.99,1.46656,0.94615,0.00749,0.83098,0.72655,0.81255,0.48705,1.46576,0.8579,0.01261,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,6176.8,1.46147,0.93575,0.00746,0.83151,0.72984,0.81461,0.48915,1.45975,0.85606,0.01255,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,6357.38,1.46522,0.94243,0.00742,0.83566,0.72829,0.81456,0.48788,1.46084,0.84943,0.01255,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,6527.45,1.45579,0.93618,0.00748,0.83704,0.73054,0.81644,0.48921,1.45811,0.84697,0.01252,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,6701.77,1.45329,0.93009,0.00746,0.83319,0.73374,0.81834,0.49099,1.45882,0.8448,0.01253,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,6866.95,1.45509,0.92419,0.00738,0.83583,0.733,0.81857,0.4911,1.45672,0.8413,0.01251,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,7045.38,1.44442,0.9223,0.00744,0.83639,0.73467,0.81897,0.49003,1.45662,0.84395,0.01249,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,7230.56,1.44091,0.92226,0.0074,0.83738,0.7321,0.81829,0.49131,1.45528,0.84075,0.01247,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,7415.11,1.43791,0.91893,0.00738,0.83713,0.73387,0.81933,0.49218,1.45283,0.84234,0.01247,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,7605.76,1.44025,0.9146,0.0073,0.83883,0.73509,0.81978,0.49306,1.45383,0.83743,0.01247,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,7787.5,1.44008,0.91057,0.00728,0.8375,0.73679,0.82044,0.4934,1.45318,0.83664,0.01246,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,7981.69,1.4336,0.91048,0.00729,0.83831,0.73587,0.82058,0.49349,1.45083,0.83747,0.01245,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
